id,Scene,Character,Cleaned_Sayings
501,Scene_22:_The_Chase_in_the_Rainforest_District,Renato Manchas,You should be asking what happened to me!
502,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,Whoa. A teensy otter did that?
503,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,What happened?
504,Scene_22:_The_Chase_in_the_Rainforest_District,Renato Manchas,He was an animal. Down on all fours. He was a savage!
505,Scene_22:_The_Chase_in_the_Rainforest_District,Renato Manchas,"There was no warning. He just kept yelling about the Night howlers. Over and over, the Night howlers!"
506,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,"Oh, so, you know about the Night howlers, too. Good, good, good. Because the Night howlers are exactly what we are here to talk about, right?"
507,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,"Yep. So, uh, you just open the door and tell us what you know, and we will tell you what we know. Okay?"
508,Scene_22:_The_Chase_in_the_Rainforest_District,Renato Manchas,Okay.
509,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,Clever fox.
510,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,Mr. Manchas?
511,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,Buddy?
512,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,Are you... okay? Run. Run!
513,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,What is wrong with him?!
514,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,I don't know! Jump! Come on! Head down! Officer Hopps to Dispatch!
515,Scene_22:_The_Chase_in_the_Rainforest_District,Benjamin Clawhauser,"Are you familiar with Gazelle? Greatest singer of our lifetime? Angel with horns? Okay, hold on. Keep watching. Who's that beside her? Who is it?"
516,Scene_22:_The_Chase_in_the_Rainforest_District,Gazelle App,"Wow, you are one hot dancer, Benjamin Clawhauser."
517,Scene_22:_The_Chase_in_the_Rainforest_District,Benjamin Clawhauser,"It's me! Did you think it was real? It looks so real! It's not, it's just a new app. Hold on a second."
518,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,"CLAWHAUSER! Clawhauser, listen to me, we have a 10-91! Jaguar gone savage! Vine and Tudjunja!"
519,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,"It's ""Tuh-hunga""!"
520,Scene_22:_The_Chase_in_the_Rainforest_District,Benjamin Clawhauser,"Okay, we're sending backup! Hopps? HOPPS!"
521,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,There! Head to the sky-trams!
522,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,Get in! Carrots? Carrots!
523,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,Go!
524,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,"No, no, no, no! Buddy, one predator to another... No, no, no, no! Now I can tell you're a little tense, so I'm just gonna give you a little personal space! Rabbit, whatever you do, do not let go!"
525,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,I'm gonna let go!
526,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,No! You what?!
527,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,One... Two...
528,Scene_22:_The_Chase_in_the_Rainforest_District,Nick Wilde,"I said do not- Rabbit! Carrots, you saved my life!"
529,Scene_22:_The_Chase_in_the_Rainforest_District,Judy Hopps,"Well, that's what we do here at the ZPD-"
530,Scene_22:_The_Chase_in_the_Rainforest_District,Chief Bogo,"Well, this should be good."
531,Scene_23:_Nick's_Childhood,Judy Hopps,"I thought this was just a missing mammal case, but it's way bigger. Mr. Otterton did not just disappear. I believe he, and this jaguar, they... they went savage, sir."
532,Scene_23:_Nick's_Childhood,Chief Bogo,"Savage? This isn't the stone age, Hopps. Animals don't ""go savage""."
533,Scene_23:_Nick's_Childhood,Judy Hopps,I thought so too... 'Till I saw this. What? He was right here!
534,Scene_23:_Nick's_Childhood,Chief Bogo,The savage jaguar?
535,Scene_23:_Nick's_Childhood,Judy Hopps,"Sir, I know what I saw. He almost killed us!"
536,Scene_23:_Nick's_Childhood,Chief Bogo,"Or maybe any aggressive predator looks ""savage"" to you rabbits. Let's go!"
537,Scene_23:_Nick's_Childhood,Judy Hopps,"No. Wait! Sir, I'm not the only one who saw him. Nick!"
538,Scene_23:_Nick's_Childhood,Chief Bogo,You think I'm gonna believe a fox?
539,Scene_23:_Nick's_Childhood,Judy Hopps,"Well, he was a key witness, and I-"
540,Scene_23:_Nick's_Childhood,Chief Bogo,"Two days to find the otter, or you quit. That was the deal. Badge."
541,Scene_23:_Nick's_Childhood,Judy Hopps,"But, sir, we--"
542,Scene_23:_Nick's_Childhood,Chief Bogo,BADGE!
543,Scene_23:_Nick's_Childhood,Nick Wilde,"Uh, no."
544,Scene_23:_Nick's_Childhood,Chief Bogo,"What did you say, fox?"
545,Scene_23:_Nick's_Childhood,Nick Wilde,"Sorry, what I said was, ""No!"" She will not be giving you that badge. Look, you gave her a... a clown vest, a three-wheeled joke-mobile, and two days to solve a case you guys haven't cracked in two weeks? Yeah, it's no wonder she needed to get help from a fox. None of you guys were gonna help her, were you? Here's the thing, chief. You gave her the 48 hours, so technically we still have... ten left to find our Mr. Otterton, and that is exactly what we're gonna do. So, if you'll excuse us, we have a very big lead to follow, and a case to crack. Good day."
546,Scene_23:_Nick's_Childhood,Nick Wilde,Officer Hopps.
547,Scene_23:_Nick's_Childhood,Judy Hopps,Thank you.
548,Scene_23:_Nick's_Childhood,Nick Wilde,Never let 'em see that they get to you.
549,Scene_23:_Nick's_Childhood,Judy Hopps,So... things do get to you?
550,Scene_23:_Nick's_Childhood,Nick Wilde,"Oh, I mean, not anymore, but I was small and emotionally unbalanced like you once."
551,Scene_23:_Nick's_Childhood,Judy Hopps,Har-har.
552,Scene_23:_Nick's_Childhood,Nick Wilde,"No, it's true. I think I was eight or maybe nine, and all I wanted to do was join the Junior Ranger Scouts. So, my mom scraped together enough money to buy me a brand new uniform, because by God I was gonna fit in, even if I was the only predator in the troop, the only fox."
553,Scene_23:_Nick's_Childhood,Woodchuck bully,"Okay, Nick."
554,Scene_23:_Nick's_Childhood,Nick Wilde,I was gonna be part of a pack.
555,Scene_23:_Nick's_Childhood,Woodchuck bully,Ready for initiation?
556,Scene_23:_Nick's_Childhood,Nick Wilde,Yeah! Pretty much born ready.
557,Scene_23:_Nick's_Childhood,Nick Wilde,I was so proud.
558,Scene_23:_Nick's_Childhood,Woodchuck bully,Okay. Now raise your right paw and deliver the oath.
559,Scene_23:_Nick's_Childhood,Nick Wilde,"I, Nicholas Wilde, promise to be brave, loyal, helpful, and trustworthy!"
560,Scene_23:_Nick's_Childhood,Woodchuck bully,Even though you're a fox?
561,Scene_23:_Nick's_Childhood,Nick Wilde,"What? No, no! What did I do wrong, you guys?! No, please! Tell me! What did I do wrong?! What did I do?! No!"
562,Scene_23:_Nick's_Childhood,Woodchuck bully,"If you thought we would ever trust a fox without a muzzle, you're even dumber than you look!"
563,Scene_23:_Nick's_Childhood,Junior Ranger Scout,"Aw, is he gonna cry?"
564,Scene_23:_Nick's_Childhood,Nick Wilde,I learned two things that day. One: I was never gonna let anyone see that they got to me.
565,Scene_23:_Nick's_Childhood,Judy Hopps,And two?
566,Scene_23:_Nick's_Childhood,Nick Wilde,"If the world's only gonna see a fox as shifty and untrustworthy, there's no point in trying to be anything else."
567,Scene_23:_Nick's_Childhood,Judy Hopps,"Nick, you are so much more than that."
568,Scene_23:_Nick's_Childhood,Nick Wilde,"Boy, look at that traffic down there. How about we go up to Chuck in traffic central? Chuck, how're things looking on the jam-cams?"
569,Scene_23:_Nick's_Childhood,Judy Hopps,"Nick, I'm glad you told me."
570,Scene_23:_Nick's_Childhood,Nick Wilde,The jam-cams...
571,Scene_23:_Nick's_Childhood,Judy Hopps,"Seriously, it's okay-"
572,Scene_23:_Nick's_Childhood,Nick Wilde,"No, no, no, shh! There are traffic cameras everywhere, all over the canopy! Whatever happened to the jaguar..."
573,Scene_23:_Nick's_Childhood,Judy Hopps,The traffic cams would have caught it!
574,Scene_23:_Nick's_Childhood,Nick Wilde,Bingo!
575,Scene_23:_Nick's_Childhood,Judy Hopps,"Oh-ho, pretty sneaky, slick!"
576,Scene_23:_Nick's_Childhood,Nick Wilde,"Eh, however, if you didn't have access to the system before, I doubt Chief Buffalo Butt is gonna let you into it now."
577,Scene_23:_Nick's_Childhood,Judy Hopps,No... But I have a friend at City Hall who might!
578,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"Uh, sir, if we could just review these very important... Sir! Oh, I'm so sorry. Sir!"
579,Scene_24:_Assistance_from_Bellwether,Leodore Lionheart,"Okay! I heard you, Bellwether, just take care of it! Please. And clear my afternoon, I'm going out."
580,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"Oh, no, but, sir, you do have a meeting with Herds and Grazing. Sir, if I can just...! Oh, mutton chops."
581,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"Assistant Mayor Bellwether, we need your help. We just need to get into the traffic cam database."
582,Scene_24:_Assistance_from_Bellwether,Nick Wilde,So fluffy!
583,Scene_24:_Assistance_from_Bellwether,Judy Hopps,Hey!
584,Scene_24:_Assistance_from_Bellwether,Nick Wilde,Sheep never let me get this close.
585,Scene_24:_Assistance_from_Bellwether,Judy Hopps,You can't just touch a sheep's wool!
586,Scene_24:_Assistance_from_Bellwether,Nick Wilde,It's like cotton candy!
587,Scene_24:_Assistance_from_Bellwether,Judy Hopps,Stop it!
588,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,Where to?
589,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"Uh, Rainforest District. Vine and Tujunga."
590,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"There! Traffic cams for the whole city. Well, this is so exciting, actually. I mean, well, you know, I never get to do anything this important."
591,Scene_24:_Assistance_from_Bellwether,Judy Hopps,But you're the assistant mayor of Zootopia.
592,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"Oh, I'm more of a glorified secretary. I think Mayor Lionheart just wanted the sheep vote. But he did give me that nice mug!"
593,Scene_24:_Assistance_from_Bellwether,Judy Hopps,Oh.
594,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,Hmm. Feels good to be appreciated.
595,Scene_24:_Assistance_from_Bellwether,Leodore Lionheart,Smell-wether!
596,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"Ah. That's a fun little name he likes to use. I called him Lionfart once. He did not care for that. Let me tell you, it was not a good day for me. Yes, sir?"
597,Scene_24:_Assistance_from_Bellwether,Leodore Lionheart,I thought you were going to cancel my afternoon!
598,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,"Oh, dear. I better go. Let me know what you find. It was really nice for me to be-"
599,Scene_24:_Assistance_from_Bellwether,Leodore Lionheart,"While we're young, Smell-wether!"
600,Scene_24:_Assistance_from_Bellwether,Dawn Bellwether,Oh.
601,Scene_24:_Assistance_from_Bellwether,Nick Wilde,"You think when she goes to sleep, she counts herself?"
602,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"Oh, shush. Okay, traffic cams. Tujunga, Tujunga... We're in. Who are these guys?"
603,Scene_24:_Assistance_from_Bellwether,Nick Wilde,"Ugh. Timber wolves. Look at these dumb-dumbs. Bet you a nickel one of them's gonna howl. And there it is. I mean, what is it with wolves and the howling? It's like..."
604,Scene_24:_Assistance_from_Bellwether,Judy Hopps,Howlers. Night howlers! That's what Manchas was afraid of! Wolves! The wolves are the Night howlers! If they took Manchas...
605,Scene_24:_Assistance_from_Bellwether,Nick Wilde,I bet they took Otterton too.
606,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"All we gotta do is find out where they went. Wait, where'd they go?"
607,Scene_24:_Assistance_from_Bellwether,Nick Wilde,"You know, if I wanted to avoid surveillance because I was doing something illegal, which I never have, I would use the maintenance tunnel 6B. Which would put them out... right there."
608,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"Well, look at you, Junior Detective. You know, I think you'd actually make a pretty good cop."
609,Scene_24:_Assistance_from_Bellwether,Nick Wilde,"Ugh. How dare you. Acacia Alley, Ficus Underpass, South Canyon."
610,Scene_24:_Assistance_from_Bellwether,Judy Hopps,"Mm-hmm, they're heading out of town. Where does that road go?"
611,Scene_25:_Cliffside_Asylum,Larry,"Gary, quit it, you're gonna start a howl!"
612,Scene_25:_Cliffside_Asylum,Gary,I didn't start it!
613,Scene_25:_Cliffside_Asylum,Judy Hopps,Come on!
614,Scene_25:_Cliffside_Asylum,Nick Wilde,You are a clever bunny.
615,Scene_25:_Cliffside_Asylum,Judy Hopps,It looks like this was a hospital.
616,Scene_25:_Cliffside_Asylum,Nick Wilde,"You know, after you. You're the cop. Okay, all clear."
617,Scene_25:_Cliffside_Asylum,Judy Hopps,All this equipment is brand new.
618,Scene_25:_Cliffside_Asylum,Nick Wilde,Carrots...
619,Scene_25:_Cliffside_Asylum,Judy Hopps,Claw marks.
620,Scene_25:_Cliffside_Asylum,Nick Wilde,"Yeah, huge, huge claw marks. I mean, what kind of animal-"
621,Scene_25:_Cliffside_Asylum,Judy Hopps,"Mr. Manchas. It's him! We found our otter. Mr. Otterton, my name is Officer Judy Hopps. Your wife sent me to find you. We're gonna get you out of here now."
622,Scene_25:_Cliffside_Asylum,Nick Wilde,Or not. Guess he's in no rush to get home to the missus.
623,Scene_25:_Cliffside_Asylum,Judy Hopps,"Eleven, twelve, thirteen, fourteen... Not including Manchas, it's... It's fourteen. Chief Bogo handed out fourteen missing mammal files. They're all here. All the missing mammals are right here."
624,Scene_25:_Cliffside_Asylum,Leodore Lionheart,"Enough! I don't want excuses, Doctor, I want answers."
625,Scene_25:_Cliffside_Asylum,Dr. Madge Honey Badger,"Mayor Lionheart, please. We're doing everything we can."
626,Scene_25:_Cliffside_Asylum,Leodore Lionheart,"Really? 'Cause I've got a dozen and a half animals here who've gone off the rails crazy, and you can't tell me why! Now I'd call that awfully far from ""doing everything""!"
627,Scene_25:_Cliffside_Asylum,Dr. Madge Honey Badger,"Sir, it may be time to consider their biology."
628,Scene_25:_Cliffside_Asylum,Leodore Lionheart,"What? What do you mean ""biology""?"
629,Scene_25:_Cliffside_Asylum,Dr. Madge Honey Badger,The only animals going savage are predators. We cannot keep it a secret; we need to come forward!
630,Scene_25:_Cliffside_Asylum,Leodore Lionheart,"Hmm, great idea. Tell the public. And how do you think they're gonna feel about their mayor... WHO IS A LION?! I'll be ruined!"
631,Scene_25:_Cliffside_Asylum,Dr. Madge Honey Badger,"Well, what does Chief Bogo say?"
632,Scene_25:_Cliffside_Asylum,Leodore Lionheart,Chief Bogo doesn't know. And we are going to keep it that way.
633,Scene_25:_Cliffside_Asylum,Judy Hopps,"Oh, no, no, no!"
634,Scene_25:_Cliffside_Asylum,Leodore Lionheart,Someone's here!
635,Scene_25:_Cliffside_Asylum,Dr. Madge Honey Badger,"Sir, you need to go. Now! Security, sweep the area!"
636,Scene_25:_Cliffside_Asylum,Nick Wilde,"Great! We're dead! We're dead, that's it. I'm dead, you're dead, everybody's dead!"
637,Scene_25:_Cliffside_Asylum,Judy Hopps,Can you swim?
638,Scene_25:_Cliffside_Asylum,Nick Wilde,"What? Can I swim? Yes, I can swim. Why?"
639,Scene_25:_Cliffside_Asylum,Nick Wilde,Carrots! Hopps? Judy!
640,Scene_25:_Cliffside_Asylum,Judy Hopps,We gotta tell Bogo!
641,Scene_26:_Dancing_with_Gazelle,Gazelle App,"Wow, you are one hot dancer, Chief Bogo."
642,Scene_26:_Dancing_with_Gazelle,Benjamin Clawhauser,Chief Bogo!
643,Scene_26:_Dancing_with_Gazelle,Chief Bogo,Not now!
644,Scene_26:_Dancing_with_Gazelle,Benjamin Clawhauser,"Wait, is that Gazelle?"
645,Scene_26:_Dancing_with_Gazelle,Chief Bogo,No!
646,Scene_26:_Dancing_with_Gazelle,Gazelle App,"I'm Gazelle, and you are one hot dancer."
647,Scene_26:_Dancing_with_Gazelle,Benjamin Clawhauser,"You have the app too? Aww, Chieeeeeef!"
648,Scene_26:_Dancing_with_Gazelle,Chief Bogo,Clawhauser! Can't you see I'm working on the missing mammal cases?!
649,Scene_26:_Dancing_with_Gazelle,Benjamin Clawhauser,"Oh, oh, oh, yes, of course, about that, sir... Officer Hopps just called - she found all of them!"
650,Scene_26:_Dancing_with_Gazelle,Gazelle App,"Wow, I'm impressed!"
651,Scene_27:_The_Arrest,Judy Hopps,"Mayor Lionheart, you have the right to remain silent. Anything-"
652,Scene_27:_The_Arrest,Leodore Lionheart,You don't understand! I was trying to protect the city!
653,Scene_27:_The_Arrest,Judy Hopps,You were just trying to protect your job.
654,Scene_27:_The_Arrest,Leodore Lionheart,"No! Listen, we still don't know why this is happening. It could destroy Zootopia!"
655,Scene_27:_The_Arrest,Judy Hopps,You have the right to remain silent. Anything you say can and will be used against you...
656,Scene_28:_Judy's_Interview,Chief Bogo,"Ladies and gentle-mammals, fourteen mammals went missing, and all fourteen have been found by our newest recruit, who will speak to you in a moment."
657,Scene_28:_Judy's_Interview,Judy Hopps,"Ohh, I'm so nervous."
658,Scene_28:_Judy's_Interview,Nick Wilde,"Okay. Press conference 101. You wanna look smart, answer their question with your own question and then answer that question. Like this: ""Excuse me, Officer Hopps, uh, what can you tell us about the case?"" ""Well, was this a tough case? Yes, yes, it was."" You see?"
659,Scene_28:_Judy's_Interview,Judy Hopps,You should be up there with me. We did this together.
660,Scene_28:_Judy's_Interview,Nick Wilde,"Well, am I a cop? No. No, I am not."
661,Scene_28:_Judy's_Interview,Judy Hopps,"Hm. Funny you should say that. Because, well, I've been thinking... it would be nice to have a partner. Here, in case you need something to write with."
662,Scene_28:_Judy's_Interview,Dawn Bellwether,Officer Hopps! It's time.
663,Scene_28:_Judy's_Interview,Chief Bogo,"They appear to be in good health, physically, if not emotionally. So now, I'll turn things over to the officer who cracked the case, Officer Judy Hopps."
664,Scene_28:_Judy's_Interview,Judy Hopps,"Uh, yes?"
665,Scene_28:_Judy's_Interview,Action Gnus 5 beaver,What can you tell us about the animals that went savage?
666,Scene_28:_Judy's_Interview,Judy Hopps,"Well, the... the animals in question... Are they all different species? Yes, yes they are."
667,Scene_28:_Judy's_Interview,News reporters,"Okay, so what is the connection?"
668,Scene_28:_Judy's_Interview,Judy Hopps,"Oh, all we know is that they are all members of the predator family."
669,Scene_28:_Judy's_Interview,Doug Ramses,"So, predators are the only ones going savage?"
670,Scene_28:_Judy's_Interview,Judy Hopps,"That is accu-- Yes, that is accurate, yes."
671,Scene_28:_Judy's_Interview,News reporters,Why? Why is this happening?
672,Scene_28:_Judy's_Interview,Judy Hopps,We still don't know. But it may have something to do with biology.
673,Scene_28:_Judy's_Interview,News reporters,What do you mean by that?
674,Scene_28:_Judy's_Interview,Judy Hopps,"A biological component. You know, something in their DNA."
675,Scene_28:_Judy's_Interview,News reporters,"In their DNA, can you elaborate on that, please?"
676,Scene_28:_Judy's_Interview,Judy Hopps,"Yes. What I mean is, thousands of years ago, uh, predators survived through their... aggressive hunting instincts. For whatever reason, they seem to be reverting back to their primitive, savage ways."
677,Scene_28:_Judy's_Interview,News reporters,"Aw, is he gonna cry?"
678,Scene_28:_Judy's_Interview,News reporters,"Officer Hopps, could it happen again?"
679,Scene_28:_Judy's_Interview,Judy Hopps,"It is possible, so we must be vigilant, and we at the ZPD are prepared and are here to protect you."
680,Scene_28:_Judy's_Interview,News reporters,Will more mammals go savage?
681,Scene_28:_Judy's_Interview,News reporters,What is being done to protect us?
682,Scene_28:_Judy's_Interview,News reporters,Have you considered a mandatory quarantine on predators?
683,Scene_28:_Judy's_Interview,Dawn Bellwether,"Okay, thank you, Officer Hopps. Uh, that's all the time we have. No more questions."
684,Scene_28:_Judy's_Interview,Judy Hopps,Was I okay?
685,Scene_28:_Judy's_Interview,Dawn Bellwether,"Oh, you did fine!"
686,Scene_28:_Judy's_Interview,Judy Hopps,"Oh, that went so fast. I didn't get a chance to mention you or say anything about how we-"
687,Scene_28:_Judy's_Interview,Nick Wilde,"Oh, I think you said plenty."
688,Scene_28:_Judy's_Interview,Judy Hopps,What do you mean?
689,Scene_28:_Judy's_Interview,Nick Wilde,"""Clearly there's a biological component""? ""These predators may be... reverting back to their primitive, savage ways""? Are you serious?"
690,Scene_28:_Judy's_Interview,Judy Hopps,"I just stated the facts of the case. I mean, it's not like a bunny could go savage."
691,Scene_28:_Judy's_Interview,Nick Wilde,"Right. But a fox could, huh?"
692,Scene_28:_Judy's_Interview,Judy Hopps,"Nick, stop it! You're not like them."
693,Scene_28:_Judy's_Interview,Nick Wilde,"Oh, there's a them now?!"
694,Scene_28:_Judy's_Interview,Judy Hopps,Ugh. You know what I mean. You're not that kind of predator.
695,Scene_28:_Judy's_Interview,Nick Wilde,"The kind that needs to be muzzled? The kind that makes you think you need to carry around fox repellent? Yeah, don't think I didn't notice that little item the first time we met. So, l-let me ask you a question: Are you afraid of me? Do you think I might go nuts? Do you think I might go ""savage""? Do you think I might try to... EAT YOU?! I knew it. Just when I thought somebody actually believed in me, huh? Probably best if you don't have a predator as a partner."
696,Scene_28:_Judy's_Interview,Judy Hopps,"No, Nick! Nick!"
697,Scene_28:_Judy's_Interview,News reporters,"Officer Hopps, were you just threatened by that predator?"
698,Scene_28:_Judy's_Interview,Judy Hopps,"No, he's my friend."
699,Scene_28:_Judy's_Interview,News reporters,We can't even trust our own friends?!
700,Scene_28:_Judy's_Interview,Judy Hopps,That is not what I said. Please-
701,Scene_28:_Judy's_Interview,News reporters,Are we safe?
702,Scene_28:_Judy's_Interview,News reporters,Have any other foxes gone savage?
703,Scene_29:_ZNN,Fabienne Growley,"More bad news in this city gripped by fear. A caribou is in critical condition, the victim of a mauling by a savage polar bear. This, the 27th such attack, comes just one week after ZPD officer Judy Hopps connected the violence to traditionally predatory animals."
704,Scene_29:_ZNN,Peter Moosebridge,"Meanwhile, a peace rally organized by pop star Gazelle was marred by protest."
705,Scene_29:_ZNN,Frantic Pig,"Go back to the forest, predator!"
706,Scene_29:_ZNN,Stephanie Stalkinew,I'm from the savannah!
707,Scene_29:_ZNN,Gazelle,"Zootopia is a unique place. It's a crazy, beautiful diverse city where we celebrate our differences. This is not the Zootopia I know. The Zootopia I know is better than this. We don't just blindly assign blame. We don't know why these attacks keep happening, but it is irresponsible to label all predators as savages."
708,Scene_29:_ZNN,Mrs. Otterton,That's not my Emmitt.
709,Scene_29:_ZNN,Gazelle,"We cannot let fear divide us. Please, give me back the Zootopia I love."
710,Scene_30:_Moving_to_Records,Chief Bogo,"Come on, Hopps. The new mayor wants to see us."
711,Scene_30:_Moving_to_Records,Judy Hopps,The mayor? Why?
712,Scene_30:_Moving_to_Records,Chief Bogo,It would seem you've arrived.
713,Scene_30:_Moving_to_Records,Judy Hopps,Clawhauser? What are you doing?
714,Scene_30:_Moving_to_Records,Benjamin Clawhauser,"Um... They thought it would be better if a predator, such as myself, wasn't the first face that you see when you walk into the ZPD."
715,Scene_30:_Moving_to_Records,Judy Hopps,What?
716,Scene_30:_Moving_to_Records,Benjamin Clawhauser,They're gonna move me to records. It's downstairs. It's by the boiler.
717,Scene_30:_Moving_to_Records,Chief Bogo,Hopps!
718,Scene_31:_The_Public_Face_of_the_ZPD,Judy Hopps,I don't understand.
719,Scene_31:_The_Public_Face_of_the_ZPD,Dawn Bellwether,"Our city is 90% prey, Judy, and right now, they're just really scared. You're a hero to them. They trust you. And so that's why Chief Bogo and I want you to be the public face of the ZPD."
720,Scene_31:_The_Public_Face_of_the_ZPD,Judy Hopps,"I'm not... I'm not a hero. I came here to make the world a better place, but I think I broke it."
721,Scene_31:_The_Public_Face_of_the_ZPD,Chief Bogo,"Don't give yourself so much credit, Hopps. The world has always been broken, that's why we need good cops. Like you."
722,Scene_31:_The_Public_Face_of_the_ZPD,Judy Hopps,"With all due respect, sir, a good cop is supposed to serve and protect, help the city, not tear it apart. I don't deserve this badge."
723,Scene_31:_The_Public_Face_of_the_ZPD,Chief Bogo,Hopps?
724,Scene_31:_The_Public_Face_of_the_ZPD,Dawn Bellwether,"Judy, you've worked so hard to get here. It's what you wanted since you were a kid. You can't quit."
725,Scene_31:_The_Public_Face_of_the_ZPD,Judy Hopps,Thank you for the opportunity.
726,Scene_32:_Judy's_Epiphany,Judy Hopps,A dozen carrots. Have a nice day.
727,Scene_32:_Judy's_Epiphany,Bonnie Hopps,Thanks. Come on.
728,Scene_32:_Judy's_Epiphany,Stu Hopps,"Hey there, Jude... Jude the Dude. Remember that one? How we doing?"
729,Scene_32:_Judy's_Epiphany,Judy Hopps,I'm fine.
730,Scene_32:_Judy's_Epiphany,Bonnie Hopps,"You are not fine, your ears are droopy."
731,Scene_32:_Judy's_Epiphany,Judy Hopps,Why did I think I could make a difference?
732,Scene_32:_Judy's_Epiphany,Stu Hopps,"Because you're a trier, that's why."
733,Scene_32:_Judy's_Epiphany,Bonnie Hopps,You've always been a trier.
734,Scene_32:_Judy's_Epiphany,Judy Hopps,"Oh, I tried. And I made life so much worse for so many innocent predators."
735,Scene_32:_Judy's_Epiphany,Stu Hopps,"Oh! Not all of them, though. Speak of the devil, Right on time."
736,Scene_32:_Judy's_Epiphany,Judy Hopps,Is that... Gideon Grey?
737,Scene_32:_Judy's_Epiphany,Stu Hopps,Yep! Sure it is. We work with him now.
738,Scene_32:_Judy's_Epiphany,Bonnie Hopps,"He's our partner, and we never would have considered it had you not opened our minds."
739,Scene_32:_Judy's_Epiphany,Stu Hopps,"That's right, I mean Gid's turned into one of the top pastry chefs in the Tri-Burrows."
740,Scene_32:_Judy's_Epiphany,Judy Hopps,"That's... That's really cool, you guys. Gideon Grey. I'll be darned."
741,Scene_32:_Judy's_Epiphany,Gideon Grey,"Hey, Judy. I'd just like to say, I'm sorry for the way I behaved in my youth. I-I-I had a lot of self-doubt and it manifested itself in the form of unchecked rage and aggression. I was a major jerk."
742,Scene_32:_Judy's_Epiphany,Judy Hopps,"Well, I know a thing or two about being a jerk."
743,Scene_32:_Judy's_Epiphany,Gideon Grey,"Anyhow, I-I brought y'all these pies."
744,Scene_32:_Judy's_Epiphany,Stu Hopps,"Hey, kids! Don't you run through that Midnicampum holicithias!"
745,Scene_32:_Judy's_Epiphany,Rabbit girl,"Whoa, whoa, whoa!"
746,Scene_32:_Judy's_Epiphany,Gideon Grey,"Well, now there's a four-dollar word, Mr. H, my family always just called them Night howlers."
747,Scene_32:_Judy's_Epiphany,Judy Hopps,"I'm sorry, what did you say?"
748,Scene_32:_Judy's_Epiphany,Stu Hopps,"Oh, Gid's talking about those flowers, Judy. I use 'em to keep the bugs off the produce, but I don't like the little ones going near 'em on account of what happened to your Uncle Terry."
749,Scene_32:_Judy's_Epiphany,Bonnie Hopps,"Yeah, Terry ate one whole when we were kids and went completely nuts."
750,Scene_32:_Judy's_Epiphany,Stu Hopps,He bit the dickens out of your mother.
751,Scene_32:_Judy's_Epiphany,Judy Hopps,A bunny can go savage.
752,Scene_32:_Judy's_Epiphany,Bonnie Hopps,"Savage? Well, that's a strong word, but it did hurt like the devil."
753,Scene_32:_Judy's_Epiphany,Stu Hopps,"Well, sure it did. There's a sizable divot in your arm. I'd call that savage!"
754,Scene_32:_Judy's_Epiphany,Judy Hopps,"Night howlers aren't wolves, they're flowers. The flowers are making the predators go savage. That's it! That's what I've been missing! Oh, keys, keys, keys, keys, hurry, come on! Thank you! I love you, bye!"
755,Scene_32:_Judy's_Epiphany,Stu Hopps,"You catch any of that, Bon?"
756,Scene_32:_Judy's_Epiphany,Bonnie Hopps,Not one bit.
757,Scene_32:_Judy's_Epiphany,Gideon Grey,"Well, that makes me feel a little bit better, I thought she was talking in tongues or something."
758,Scene_33:_Judy_and_Nick_Reconcile,Finnick,Who is it?!
