"Scene","Character","Cleaned_Sayings"
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Yes!"
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","That's two days to find Emmitt Otterton."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Okay."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","But! You strike out, you resign."
"Scene_13:_Judy_Takes_the_Otterton_Case","Judy Hopps","Oh. Uh... Okay. Deal."
"Scene_13:_Judy_Takes_the_Otterton_Case","Chief Bogo","Splendid. Clawhauser will give you the complete case file."
"Scene_14:_Otterton's_File","Clawhauser","Here you go! One missing otter!"
"Scene_14:_Otterton's_File","Judy Hopps","That's it?!"
"Scene_14:_Otterton's_File","Clawhauser","Yikes! That is the smallest case file I've ever seen. Leads: none, witnesses: none, and you're not in the computer system yet, so resources: none! Oh, I hope you didn't stake your career on cracking this one!"
"Scene_14:_Otterton's_File","Judy Hopps","Okay. Last known sighting. Can I just borrow... Thank you. Pawpsicle..."
"Scene_14:_Otterton's_File","Clawhauser","The murder weapon..."
"Scene_14:_Otterton's_File","Judy Hopps","""Get your pawpsicle..."""
"Scene_14:_Otterton's_File","Clawhauser","Yeah, 'cause that... what does that mean?"
"Scene_14:_Otterton's_File","Judy Hopps","It means... I have a lead."
"Scene_15:_Judy's_Hustle","Judy Hopps","Hi! Hello! It's me again."
"Scene_15:_Judy's_Hustle","Nick Wilde","Hey, it's Officer Toot-toot!"
"Scene_15:_Judy's_Hustle","Judy Hopps","Ha-ha-ho... No. Actually, it's Officer Hopps and I'm here to ask you some questions about a case."
"Scene_15:_Judy's_Hustle","Nick Wilde","What happened, meter maid? Did someone steal a traffic cone? It wasn't me. Hey, Carrots, you're gonna wake the baby. I gotta get to work."
"Scene_15:_Judy's_Hustle","Judy Hopps","This is important, sir. I think your ten dollars worth of pawpsicles can wait."
"Scene_15:_Judy's_Hustle","Nick Wilde","Ha! I make two hundred bucks a day, Fluff. Three hundred and sixty-five days a year since I was twelve. And time is money. Hop along."
"Scene_15:_Judy's_Hustle","Judy Hopps","Please, just look at the picture. You sold Mr. Otterton that pawpsicle, right? Do you know him?"
"Scene_15:_Judy's_Hustle","Nick Wilde","I know everybody. And I also know that somewhere, there's a toy store missing its stuffed animal. So why don't you get back to your box?"
"Scene_15:_Judy's_Hustle","Judy Hopps","Fine. Then we'll have to do this the hard way."
"Scene_15:_Judy's_Hustle","Nick Wilde","Did you just boot my stroller?"
"Scene_15:_Judy's_Hustle","Judy Hopps","Nicholas Wilde, you are under arrest!"
"Scene_15:_Judy's_Hustle","Nick Wilde","For what? Hurting your feewings?"
"Scene_15:_Judy's_Hustle","Judy Hopps","Felony tax evasion. Yeeaah... two hundred dollars a day, three hundred and sixty-five days a year since you were twelve, that's two decades, so times twenty which is... one million four hundred sixty thousand - I think. I mean, I am just a dumb bunny, but we are good at multiplying. Anyway, according to your tax forms, you reported, let me see here, zero! Unfortunately, lying on a federal form is a punishable offense. Five years jail time."
"Scene_15:_Judy's_Hustle","Nick Wilde","Well, it's my word against yours."
"Scene_15:_Judy's_Hustle","Nick Wilde's voice","...two hundred bucks a day, Fluff. Three hundred and sixty-five days a year since I was twelve."
"Scene_15:_Judy's_Hustle","Judy Hopps","Actually, it's your word against yours. And if you want this pen, you're going to help me find this poor missing otter, or the only place you'll be selling pawpsicles is the prison cafeteria. It's called a hustle, sweetheart."
"Scene_15:_Judy's_Hustle","Finnick","She hustled you. She hustled you good! You're a cop now, Nick! You're gonna need one of these. Have fun working with the fuzz!"
"Scene_15:_Judy's_Hustle","Judy Hopps","Start talking."
"Scene_15:_Judy's_Hustle","Nick Wilde","I don't know where he is, I only saw where he went."
"Scene_15:_Judy's_Hustle","Judy Hopps","Great! Let's go!"
"Scene_15:_Judy's_Hustle","Nick Wilde","It's not exactly a place for a cute little bunny."
"Scene_15:_Judy's_Hustle","Judy Hopps","Don't call me cute! Get in the car."
"Scene_15:_Judy's_Hustle","Nick Wilde","Okay, you're the boss."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Ohm... Ohm... Ohm..."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Ahem. Hi. Uh, hello."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Ohm... Ohm... Ohm..."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Hello? Hello? Hello!"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Hmm?"
"Scene_16:_The_Mystic_Spring_Oasis","Judy","Hello! My name is..."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Ohhh, y'know, I'm gonna hit the pause button right there, 'cause we're all good on bunny scout cookies."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Uh... no. I'm Officer Hopps, ZPD. I'm looking for a missing mammal; Emmitt Otterton, right here, who may have frequented this establishment?"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, old Emmitt! Haven't seen him in a couple of weeks. But hey, you should talk to his yoga instructor. I'd be happy to take you back."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Oh thank you so much, I'd appreciate that more than you can imagine, it'd be such an - OHHHH, you are naked!"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Huh? Oh, for sure, we're a naturalist club!"
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","Yeah, in Zootopia, anyone can be anything. And these guys? They be naked."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Nangi's just on the other side of the pleasure pool."
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","Oh, boy. Does this make you uncomfortable? Because if so, there's no shame in calling it quits."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Yes, there is."
"Scene_16:_The_Mystic_Spring_Oasis","Nick Wilde","Boy, that's the spirit."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, some mammals say the naturalist life is weird, but you know what I say is weird? Clothes on animals! Here we go. As you can see, Nangi's an elephant, so she'll totally remember everything. Hey, Nangi! These dudes have some questions about Emmitt the Otter."
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","Who?"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Uh, Emmitt Otterton. Been coming to your yoga class for, like, six years."
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","I have no memory of this beaver."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Uh, he's an otter, actually."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","He was here a couple of Wednesdays ago, remember?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","Nope."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, he was wearing a green cable-knit sweater vest and a new pair of corduroy slacks. Oh, and a Paisley tie, sweet Windsor knot. Real tight. Remember that, Nangi?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","No."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Yeah, and we both walked him out, and he got into this big old white car with a silver trim. Needed a tune-up, the third cylinder wasn't firing. Remember that, Nangi?"
"Scene_16:_The_Mystic_Spring_Oasis","Nangi","Nope."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","Um, uh, you didn't happen to catch the license plate number... did you?"
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Oh, for sure. It was 2-9-T-H-D-0-3."
"Scene_16:_The_Mystic_Spring_Oasis","Judy Hopps","...0-3. Wow, this is a lot of great info, thank you."
"Scene_16:_The_Mystic_Spring_Oasis","Yax","Told you Nangi has a mind like a steel trap. Ah, I wish I had a memory like an elephant."
"Scene_17:_Running_the_Plate","Nick Wilde","Well, I had a ball. You are welcome for the clue, and seeing as how any moron can run a plate, I will take that pen and bid you adieu."
"Scene_17:_Running_the_Plate","Judy Hopps","The plate. I can't run a plate. Ooh... I'm not in the system yet."
"Scene_17:_Running_the_Plate","Nick Wilde","Give me the pen, please..."
"Scene_17:_Running_the_Plate","Judy Hopps","What was it you said? ""Any moron can run a plate""? Gosh, if only there were a moron around who were up to the task."
"Scene_17:_Running_the_Plate","Nick Wilde","Rabbit, I did what you asked! You can't keep me on the hook forever."
"Scene_17:_Running_the_Plate","Judy Hopps","Not forever. Well, I only have 36 hours left to solve this case. So can you run the plate or not?"
"Scene_17:_Running_the_Plate","Nick Wilde","Actually, I just remembered, I have a pal at the DMV."
"Scene_18:_The_DMV","Nick Wilde","Flash is the fastest guy in there. You need something done, he's on it."
"Scene_18:_The_DMV","Judy Hopps","I hope so. We are really fighting the clock and every minute counts. Wait, they're all sloths?!"
"Scene_18:_The_DMV","Judy Hopps","You said this was gonna be quick!"
"Scene_18:_The_DMV","Nick Wilde","What, are you saying that because he's a sloth he can't be fast? I thought in Zootopia anyone could be anything. Flash, Flash, hundred-yard dash! Buddy, it's nice to see ya."
"Scene_18:_The_DMV","Flash Slothmore","Nice to... see you... too."
"Scene_18:_The_DMV","Nick Wilde","Hey, Flash, I'd love you to meet my friend... Uh, darling, I've forgotten your name."
"Scene_18:_The_DMV","Judy Hopps","Hmmm. Officer Judy Hopps, ZPD. How are you?"
"Scene_18:_The_DMV","Flash Slothmore","I am... doing... just..."
"Scene_18:_The_DMV","Judy Hopps","Fine?"
"Scene_18:_The_DMV","Flash Slothmore","...as well... as... I can... be."
"Scene_18:_The_DMV","Judy Hopps","Hmm."
"Scene_18:_The_DMV","Flash Slothmore","What..."
"Scene_18:_The_DMV","Nick Wilde","Hang in there."
"Scene_18:_The_DMV","Flash Slothmore","...can I... do..."
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could run a plate--"
"Scene_18:_The_DMV","Flash Slothmore","...for you..."
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could--"
"Scene_18:_The_DMV","Flash Slothmore","...today?"
"Scene_18:_The_DMV","Judy Hopps","Well, I was hoping you could run a plate for us. We are in a really big hurry!"
"Scene_18:_The_DMV","Flash Slothmore","Sure. What's the... plate..."
"Scene_18:_The_DMV","Judy Hopps","2-9-T--"
"Scene_18:_The_DMV","Flash Slothmore","...number?"
"Scene_18:_The_DMV","Judy Hopps","2-9-T-H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","2... 9..."
"Scene_18:_The_DMV","Judy Hopps","T-H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...T..."
"Scene_18:_The_DMV","Judy Hopps","H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...H..."
"Scene_18:_The_DMV","Judy Hopps","D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...D..."
"Scene_18:_The_DMV","Judy Hopps","Mm-hmm, 0-3."
"Scene_18:_The_DMV","Flash Slothmore","...0..."
"Scene_18:_The_DMV","Judy Hopps","3!"
"Scene_18:_The_DMV","Nick Wilde","Hey, Flash, wanna hear a joke?"
"Scene_18:_The_DMV","Judy Hopps","No!"
"Scene_18:_The_DMV","Flash Slothmore","Sure."
"Scene_18:_The_DMV","Nick Wilde","Okay. What do you call a three-humped camel?"
"Scene_18:_The_DMV","Flash Slothmore","I don't... know. What... do... you call... a..."
"Scene_18:_The_DMV","Judy Hopps","Three-humped camel."
"Scene_18:_The_DMV","Flash Slothmore","...three-humped... camel?"
"Scene_18:_The_DMV","Nick Wilde","Pregnant!"
"Scene_18:_The_DMV","Flash Slothmore","Ha... Ha... Heh... Ha..."
"Scene_18:_The_DMV","Judy Hopps","Ha ha! Yes, very funny, very funny. Can we please just focus on the task?"
"Scene_18:_The_DMV","Flash Slothmore","Hey..."
"Scene_18:_The_DMV","Judy Hopps","W-Wait, wait, wait!"
"Scene_18:_The_DMV","Flash Slothmore","...Priscilla."
"Scene_18:_The_DMV","Judy Hopps","Oh, no!"
"Scene_18:_The_DMV","Priscilla Tripletoe","Yes... Flash?"
"Scene_18:_The_DMV","Flash Slothmore","What... do..."
"Scene_18:_The_DMV","Judy Hopps","No...!"
"Scene_18:_The_DMV","Flash Slothmore","...you call..."
"Scene_18:_The_DMV","Judy Hopps","A three-humped camel? Pregnant!"
"Scene_18:_The_DMV","Flash Slothmore","...a three..."
"Scene_18:_The_DMV","Judy Hopps","Okay! Great! We got it! Please, just..."
"Scene_18:_The_DMV","Flash Slothmore","...humped..."
"Scene_18:_The_DMV","Flash Slothmore","Here..."
"Scene_18:_The_DMV","Judy Hopps","Yes! Yeah, yeah, yeah, hurry."
"Scene_18:_The_DMV","Flash Slothmore","...you..."
"Scene_18:_The_DMV","Judy Hopps","Thank you! 2-9-T-H-D-0-3..."
"Scene_18:_The_DMV","Flash Slothmore","...go."
"Scene_18:_The_DMV","Judy Hopps","It's registered to... Tundratown Limo Service! A limo took Otterton! And the limo's in Tundratown! It's in Tundratown!"
"Scene_18:_The_DMV","Nick Wilde","Way to hustle, bud. I love ya! I owe ya!"
"Scene_18:_The_DMV","Judy Hopps","Hurry! We gotta beat the rush hour and-- It's night?!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Closed! Great."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Hm. And I will betcha you don't have a warrant to get in, hmm? Darn it. It's a bummer."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","You wasted the day on purpose!"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Madam, I have a fake badge. I would never impede your pretend investigation."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","It's not a ""pretend investigation"". Look, see? See him? This otter is missing."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Well, then they should've gotten a real cop to find him."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","What is your problem? Does seeing me fail somehow make you feel better about your own sad, miserable life?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","It does, 100%. Now, since you're sans warrant, I guess we're... done?"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Fine. We are done. Here's your pen."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Hey! First off, you throw like a bunny. Second, you're a very sore loser. See you later, Officer Fluff! So sad this is over. I wish I could've helped more!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","The thing is, you don't need a warrant if you have probable cause, and I'm pretty sure I saw a shifty lowlife climbing the fence. So you're helping plenty! Come on! 2-9-T-H-D-0-3... This is it! Polar bear fur."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Oh my God!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","What? What?!"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","The Velvety Pipes of Jerry Vole! But on CD. Who still uses CDs?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Carrots? If your otter was here, he had a very bad day."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Those are... claw marks. You ever seen anything like this?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","No."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Oh, wait. Look! This is him. Emmitt Otterton. He was definitely here. What do you think happened?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Well, now, wait a minute. Polar bear fur, rat-pack music, fancy cup? I know whose car this is, we gotta go!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Why? Whose car is it?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","The most feared crime boss in Tundratown. They call him Mr. Big, and he does not like me, so we gotta go!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","I'm not leaving. This is a crime scene."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Well, it's gonna be an even bigger crime scene if Mr. Big finds me here, so we're leaving, right now! Oh, gah! Raymond! And is that Kevin? Long time no see! And speaking of ""no see"", how about you forget you saw me. Huh? For old time's sake? That's a no."
"Scene_20:_Mr._Big","Judy Hopps","What did you do that made Mr. Big so mad at you?"
"Scene_20:_Mr._Big","Nick Wilde","I, um... I may have sold him a very expensive wool rug that was made from the fur of a skunk'ssss... butt."
"Scene_20:_Mr._Big","Judy Hopps","Oh, sweet cheese and crackers."
"Scene_20:_Mr._Big","Judy Hopps","Is that Mr. Big?"
"Scene_20:_Mr._Big","Nick Wilde","No."
"Scene_20:_Mr._Big","Judy Hopps","What about him? Is that him?"
"Scene_20:_Mr._Big","Nick Wilde","No!"
"Scene_20:_Mr._Big","Judy Hopps","That's gotta be him."
"Scene_20:_Mr._Big","Nick Wilde","Stop talking, stop talking, stop talking!"
"Scene_20:_Mr._Big","Judy Hopps","Huh."
"Scene_20:_Mr._Big","Nick Wilde","Mr. Big, sir, this is a simple misunder- Oh, here! Ahh. This is a simple misunderstanding."
"Scene_20:_Mr._Big","Mr. Big","You come here unannounced on the day my daughter is to be married."
"Scene_20:_Mr._Big","Nick Wilde","Well, actually, we were brought here against our will, so... The point is, I-I did not know that it was your car, and I certainly did not know about your daughter's wedding!"
"Scene_20:_Mr._Big","Mr. Big","Hmm. I trusted you, Nicky. I welcomed you into my home. We broke bread together. Grandmama made you a cannoli. And how did you repay my generosity? With a rug. Made from the butt of a skunk. A skunk butt rug. You disrespected me. You disrespected my Grandmama, who I buried in that skunk butt rug. I told you never to show your face here again, but here you are, snooping around with this... What are you, a performer? What's with the costume?"
"Scene_20:_Mr._Big","Judy Hopps","Sir, I am a co-"
"Scene_20:_Mr._Big","Nick Wilde","Mime! She is a mime! This mime cannot speak! You can't speak if you're a mime!"
"Scene_20:_Mr._Big","Judy Hopps","No, I am a cop. And I'm on the Emmitt Otterton case, and my evidence puts him in your car! So intimidate me all you want, I'm gonna find out what you did to that otter if it's the last thing I do."
"Scene_20:_Mr._Big","Mr. Big","Then I have only one request: say hello to Grandmama. Ice 'em!"
"Scene_20:_Mr._Big","Nick Wilde","Whoa, whoa, whoa! I-I-I-I-I-I didn't see nothing! I'm not saying nothing!"
"Scene_20:_Mr._Big","Mr. Big","And you never will."
"Scene_20:_Mr._Big","Nick Wilde","Please!"
"Scene_20:_Mr._Big","Judy Hopps","Put me down!"
"Scene_20:_Mr._Big","Nick Wilde","No, no, no, no, no! If you're mad at me about the rug, I've got more rugs!"
"Scene_20:_Mr._Big","Fru Fru","Oh, Daddy! It's time for our dance! Ugh! What did we say? No icing anyone at my wedding!"
"Scene_20:_Mr._Big","Mr. Big","I have to, baby, daddy has to. Ice 'em!"
"Scene_20:_Mr._Big","Nick Wilde","No, no, no!"
"Scene_20:_Mr._Big","Fru Fru","Wait. Wait! She's the bunny that saved my life yesterday! From that giant donut!"
"Scene_20:_Mr._Big","Mr. Big","This bunny?"
"Scene_20:_Mr._Big","Fru Fru","Yeah! Hi!"
"Scene_20:_Mr._Big","Judy Hopps","Hi. I love your dress!"
"Scene_20:_Mr._Big","Fru Fru","Aw... Thank you!"
"Scene_20:_Mr._Big","Mr. Big","Hm. Put 'em down. You have done me a great service. I will help you find the otter. I will take your kindness and pay it forward."
"Scene_21:_Discussing_Otterton","Shrews","Hey! Hey! Hey! Hey!"
"Scene_21:_Discussing_Otterton","Nick Wilde","Hmm..."
"Scene_21:_Discussing_Otterton","Mr. Big","Otterton is my florist. He's like a part of the family. He had something important he wanted to discuss. That's why I sent that car to pick him up. But he never arrived."
"Scene_21:_Discussing_Otterton","Judy Hopps","Because he was attacked."
"Scene_21:_Discussing_Otterton","Mr. Big","No. He attacked."
"Scene_21:_Discussing_Otterton","Judy Hopps","Otterton?"
"Scene_21:_Discussing_Otterton","Mr. Big","Otterton. He went crazy - ripped up the car, scared my driver half to death , and disappeared into the night."
"Scene_21:_Discussing_Otterton","Judy Hopps","But he's a sweet little otter."
"Scene_21:_Discussing_Otterton","Mr. Big","Hmm. My child, we may be evolved, but deep down, we are still animals."
"Scene_22:_The_Chase_in_the_Rainforest_District","Mr. Big","You wanna find Otterton, talk to the driver of the car. His name is Manchas. Lives in the Rainforest District. Only he can tell you more."
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Mr. Manchas? Judy Hopps, ZPD. We just wanna know what happened to Emmitt Otterton."
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","You should be asking what happened to me!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Whoa. A teensy otter did that?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","What happened?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","He was an animal. Down on all fours. He was a savage!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","There was no warning. He just kept yelling about the Night howlers. Over and over, the Night howlers!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Oh, so, you know about the Night howlers, too. Good, good, good. Because the Night howlers are exactly what we are here to talk about, right?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Yep. So, uh, you just open the door and tell us what you know, and we will tell you what we know. Okay?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","Okay."
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Clever fox."
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Mr. Manchas?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Buddy?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Are you... okay? Run. Run!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","What is wrong with him?!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","I don't know! Jump! Come on! Head down! Officer Hopps to Dispatch!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","Are you familiar with Gazelle? Greatest singer of our lifetime? Angel with horns? Okay, hold on. Keep watching. Who's that beside her? Who is it?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Gazelle App","Wow, you are one hot dancer, Benjamin Clawhauser."
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","It's me! Did you think it was real? It looks so real! It's not, it's just a new app. Hold on a second."
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","CLAWHAUSER! Clawhauser, listen to me, we have a 10-91! Jaguar gone savage! Vine and Tudjunja!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","It's ""Tuh-hunga""!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","Okay, we're sending backup! Hopps? HOPPS!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","There! Head to the sky-trams!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Get in! Carrots? Carrots!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Go!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","No, no, no, no! Buddy, one predator to another... No, no, no, no! Now I can tell you're a little tense, so I'm just gonna give you a little personal space! Rabbit, whatever you do, do not let go!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","I'm gonna let go!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","No! You what?!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","One... Two..."
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","I said do not- Rabbit! Carrots, you saved my life!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Well, that's what we do here at the ZPD-"
"Scene_22:_The_Chase_in_the_Rainforest_District","Chief Bogo","Well, this should be good."
"Scene_23:_Nick's_Childhood","Judy Hopps","I thought this was just a missing mammal case, but it's way bigger. Mr. Otterton did not just disappear. I believe he, and this jaguar, they... they went savage, sir."
"Scene_23:_Nick's_Childhood","Chief Bogo","Savage? This isn't the stone age, Hopps. Animals don't ""go savage""."
"Scene_23:_Nick's_Childhood","Judy Hopps","I thought so too... 'Till I saw this. What? He was right here!"
"Scene_23:_Nick's_Childhood","Chief Bogo","The savage jaguar?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Sir, I know what I saw. He almost killed us!"
"Scene_23:_Nick's_Childhood","Chief Bogo","Or maybe any aggressive predator looks ""savage"" to you rabbits. Let's go!"
"Scene_23:_Nick's_Childhood","Judy Hopps","No. Wait! Sir, I'm not the only one who saw him. Nick!"
"Scene_23:_Nick's_Childhood","Chief Bogo","You think I'm gonna believe a fox?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Well, he was a key witness, and I-"
"Scene_23:_Nick's_Childhood","Chief Bogo","Two days to find the otter, or you quit. That was the deal. Badge."
"Scene_23:_Nick's_Childhood","Judy Hopps","But sir, we had--"
"Scene_23:_Nick's_Childhood","Chief Bogo","BADGE!"
"Scene_23:_Nick's_Childhood","Nick Wilde","Uh, no."
"Scene_23:_Nick's_Childhood","Chief Bogo","What did you say, fox?"
"Scene_23:_Nick's_Childhood","Nick Wilde","Sorry, what I said was, ""No!"" She will not be giving you that badge. Look, you gave her a... a clown vest, a three-wheeled joke-mobile, and two days to solve a case you guys haven't cracked in two weeks? Yeah, it's no wonder she needed to get help from a fox. None of you guys were gonna help her, were you? Here's the thing, chief. You gave her the 48 hours, so technically we still have... ten left to find our Mr. Otterton, and that is exactly what we're gonna do. So, if you'll excuse us, we have a very big lead to follow, and a case to crack. Good day."
"Scene_23:_Nick's_Childhood","Nick Wilde","Officer Hopps."
"Scene_23:_Nick's_Childhood","Judy Hopps","Thank you."
"Scene_23:_Nick's_Childhood","Nick Wilde","Never let 'em see that they get to you."
"Scene_23:_Nick's_Childhood","Judy Hopps","So... things do get to you?"
"Scene_23:_Nick's_Childhood","Nick Wilde","Oh, I mean, not anymore, but I was small and emotionally unbalanced like you once."
"Scene_23:_Nick's_Childhood","Judy Hopps","Har-har."
"Scene_23:_Nick's_Childhood","Nick Wilde","No, it's true. I think I was eight or maybe nine, and all I wanted to do was join the Junior Ranger Scouts. So, my mom scraped together enough money to buy me a brand new uniform, because by God I was gonna fit in, even if I was the only predator in the troop, the only fox."
"Scene_23:_Nick's_Childhood","Woodchuck bully","Okay, Nick."
"Scene_23:_Nick's_Childhood","Nick Wilde","I was gonna be part of a pack."
"Scene_23:_Nick's_Childhood","Woodchuck bully","Ready for initiation?"
"Scene_23:_Nick's_Childhood","Young Nick Wilde","Yeah! Pretty much born ready."
"Scene_23:_Nick's_Childhood","Nick Wilde","I was so proud."
"Scene_23:_Nick's_Childhood","Woodchuck bully","Okay. Now raise your right paw and deliver the oath."
"Scene_23:_Nick's_Childhood","Young Nick Wilde","I, Nicholas Wilde, promise to be brave, loyal, helpful, and trustworthy!"
"Scene_23:_Nick's_Childhood","Woodchuck bully","Even though you're a fox?"
"Scene_23:_Nick's_Childhood","Young Nick Wilde","What? No, no! What did I do wrong, you guys?! No, please! Tell me! What did I do wrong?! What did I do?! No!"
"Scene_23:_Nick's_Childhood","Woodchuck bully","If you thought we would ever trust a fox without a muzzle, you're even dumber than you look!"
"Scene_23:_Nick's_Childhood","Junior Ranger Scout 2:","Junior Ranger Scout 2: Crybaby!"
"Scene_23:_Nick's_Childhood","Junior Ranger Scout 3","Aw, is he gonna cry?"
"Scene_23:_Nick's_Childhood","Nick Wilde","I learned two things that day. One: I was never gonna let anyone see that they got to me."
"Scene_23:_Nick's_Childhood","Judy Hopps","And two?"
"Scene_23:_Nick's_Childhood","Nick Wilde","If the world's only gonna see a fox as shifty and untrustworthy, there's no point in trying to be anything else."
"Scene_23:_Nick's_Childhood","Judy Hopps","Nick, you are so much more than that."
"Scene_23:_Nick's_Childhood","Nick Wilde","Boy, look at that traffic down there. How about we go up to Chuck in traffic central? Chuck, how're things looking on the jam-cams?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Nick, I'm glad you told me."
"Scene_23:_Nick's_Childhood","Nick Wilde","The jam-cams..."
"Scene_23:_Nick's_Childhood","Judy Hopps","Seriously, it's okay-"
"Scene_23:_Nick's_Childhood","Nick Wilde","No, no, no, shh! There are traffic cameras everywhere, all over the canopy! Whatever happened to the jaguar..."
